id,time,key
汪*,2020/2/21 上午12:57:26,运算 定距 典型 乘除 温度 加减 进行 尺度 理论 班级 环节 现场 生产 现实 现实意义 甚远 现象 现金 甚少 班主任 班长 理解能力 球形 理想 环境温度 理想气体 理查 理清 理解 理解力 理论值 一一对应 环境 环境污染 犹豫 特征函数 特征分析 特征参数 特性 特殊 特点 特色化 特质 状况 状图 状态 独特 生态 独立 独立性
郭*,2020/2/19 下午8:24:19,界限 下用 有着 比例 情况 一般来说 表示 尺度 事物 零点 数值 认为 存在 实际 班主任 班级 班长 现金 现象 球形 理想 现实意义 理查 理想气体 现场 理清 理解 理解力 理解能力 理论 理论值 甚少 甚远 生产 生平 现实 率高 环节 独立 特征参数 特性 特殊 特点 特色化 特质 状况 状图 状态 犹豫 独特
汪*池,2020/2/21 下午2:44:24,真的 观点 尺度 同意 发现 区分 重要 概念 零点 能够 距离 比例 问题 理解 甚远 现场 现实 现实意义 现象 现金 班主任 理论 理解力 班级 班长 理论值 理想 环节 甚少 理想气体 理查 理解能力 理清 球形 一一对应 环境温度 独特 特征分析 特征参数 特性 特殊 特点 特色化 特质 状况 状图 状态 犹豫 独立 生产
何*铭,2020/2/20 下午2:06:58,体积 尺度 负值 存在 无限 抽象概念 极限 物体 距离 零值 比例 绝对零度 只能 接近 数学 达到 情况 比较 现实意义 现金 现场 现象 现实 班级 班主任 环境温度 班长 球形 理想 理想气体 理查 理清 理解 理解力 理解能力 理论 理论值 环节 一一对应 环境污染 环境 特征分析 特征参数 特性 特殊 特点 特色化 特质 状况 状图
宋*婷,2020/2/25 下午8:51:00,参照物 类似 物理 是否 距离 理解 尺度 班级 班主任 现金 现实意义 现象 球形 现实 现场 环节 班长 一一对应 理想 理想气体 环境污染 理查 理清 理解力 理解能力 理论 理论值 甚少 甚远 生产 环境温度 率高 环境 状态 特征 特征函数 特征分析 特征参数 特性 特殊 特点 特色化 特质 状况 状图 犹豫 生态 独特 独立 独立性
李*秀,2020/2/20 下午5:02:41,物体 零下温度 别谈 认同 界限 距离 尺度 负值 看法 绝对零度 位置 温度 表示 零点 是否 存在 比例 确定 环节 现场 现实 环境温度 现实意义 现象 球形 现金 班主任 班级 班长 环境 理想 理想气体 理查 理清 理解 理解力 环境污染 一一对应 率高 率随 特征函数 特征分析 特征参数 特性 特殊 特点 特色化 特质 状况 状图
李*格,2020/2/20 下午5:20:36,界限 相当于 尺度 负值 零点 存在 距离 理解 比例 环节 现场 现金 现实 环境温度 环境污染 现实意义 环境 现象 班长 班主任 班级 率随 球形 理想 理想气体 理查 理清 理解力 理解能力 理论 理论值 甚少 率高 率来 率较 特质 特定 特异 特异性 特征 特征函数 特征分析 特征参数 特性 特殊 特点 特色化 状况 率越 状图
裴*旭,2020/2/21 上午9:45:17,尺度 零点 存在 距离 比例 负数 已经 数据 表示 数值 认为 具有 班主任 现实 现场 现象 环节 现金 环境温度 现实意义 班长 班级 环境 球形 理想 理想气体 理查 理清 理解 理解力 理解能力 理论 理论值 甚少 环境污染 一一对应 率高 率随 特异性 特征 特征函数 特征分析 特征参数 特性 特殊 特点 特色化 特质 状况 状图
唐*,2020/2/21 下午12:10:56,负数 一般来说 尺度 零点 应该 认为 距离 比例 环节 现金 现场 现实 环境温度 现实意义 现象 环境污染 环境 一一对应 班级 班主任 率随 班长 球形 理想 理想气体 理查 理清 理解 理解力 理解能力 理论 理论值 率高 率低 率较 特质 特定 特异 特异性 特征 特征函数 特征分析 特征参数 特性 特殊 特点 特色化 状况 率越 状图
王*向,2020/2/24 下午12:01:34,资产 习惯 负数 通常 认为 环境污染 环境温度 环节 现场 现实 现实意义 现象 现金 班主任 班级 班长 球形 率高 理想 理想气体 理查 理清 理解 理解力 理解能力 理论 理论值 甚少 甚远 生产 环境 一一对应 率随 状况 特异 特异性 特征 特征函数 特征分析 特征参数 特性 特殊 特点 特色化 特质 状图 生平 状态 犹豫 独特
袁*宁,2020/2/24 下午6:16:02,负数 零点 尺度 温度 认为 距离 比例 环节 班主任 环境温度 现实 现实意义 现象 环境污染 环境 现金 现场 一一对应 班级 率随 班长 球形 理想 理想气体 理查 理清 理解 理解力 理解能力 理论 理论值 率高 率越 率较 特质 特定 特异 特异性 特征 特征函数 特征分析 特征参数 特性 特殊 特点 特色化 状况 甚远 状图 状态
施*,2020/2/21 下午2:40:34,零点 尺度 差值 为负 正负 距离 比例 负数 起点 二者 温度 应该 认为 存在 意义 具有 数据 表示 现象 班主任 现实意义 现实 现金 一一对应 球形 班级 班长 环节 理想 理想气体 理查 理清 理解 理解力 理解能力 理论 现场 率随 环境温度 环境污染 特征函数 特征分析 特征参数 特性 特殊 特点 特色化 特质 状况 状图
刘*佳,2020/2/25 上午11:21:57,负值 尺度 零点 认为 距离 意义 比例 具有 现实意义 现金 现象 现实 现场 环节 环境温度 环境污染 环境 班主任 一一对应 班级 班长 率高 理想 理想气体 理查 理清 理解 理解力 理解能力 理论 理论值 甚少 球形 率较 率随 状况 特异 特异性 特征 特征函数 特征分析 特征参数 特性 特殊 特点 特色化 特质 状图 生产 状态
夏*,2020/2/18 下午8:45:29,尺度 距离 数据 知道 比例 区分 觉得 不妥 统称 范围 面对 有时候 需求 需要 特定 看作 提问 真正 感觉 定量 测度 区别 标准 属于 包含 定义 零点 运算 进行 应该 数值 认为 理解 一定 现实 现实意义 一一对应 现象 现金 班主任 班级 班长 球形 现场 理想气体 理查 理清 理想 率高 环节
尹*华,2020/2/19 上午10:17:11,尺度 距离 特殊 比例 绝对零度 看到 情况 具有 现实 班长 现场 现实意义 环节 环境温度 现象 现金 班主任 班级 一一对应 球形 理想 环境污染 理查 理清 理解 理解力 理解能力 理论 理论值 甚少 理想气体 率高 环境 生产 特异 特异性 特征 特征函数 特征分析 特征参数 特性 特点 特色化 特质 状况 状图 状态 犹豫 独特 独立
夏*,2020/2/20 下午4:31:18,考虑 方面 包含 也许 存在 考量 特殊 道理 交集 列举 分享 不够 全面 关系 角度 同学 部分 范围 说明 比例 情况 尺度 理解能力 班级 班长 球形 理想 理想气体 理查 理清 理解 理解力 率低 现金 理论 状图 状况 理论值 甚少 特质 甚远 特色化 生产 班主任 现象 率来 现实意义 率越 率较 率为
林*如,2020/2/19 下午1:02:03,尺度 包含 距离 人类 哺乳动物 比例 关系 计量 收入 假设 觉得 特点 零点 数值 具备 客观 含义 具有 表示 隶属于 学生 两者之间 价值 有无 意义 批评指正 考试成绩 欢迎 考试 值为 群体 成立 乘除 成绩 属于 简单 名义 序数 水平 存在 内容 理查 理解能力 理清 甚远 甚少 理论 理想气体 理解 班级
王*娇,2020/2/19 下午2:41:47,属于 尺度 数据 类似 四则运算 量表 收集 学习动机 显性 组号 远算 等定 多种类型 问题 进行 算术平均 记分 等来 距离 变量 标准偏差 需要 比较 参与 探讨 编号 无关 问卷 班级 身高 体重 运用 成绩 觉得 包含 零点 排序 名义 类别 序数 数值 相关系数 分类 学习 理解 意义 比例 确定 关系 计算
冯*娜,2020/2/19 下午2:49:07,量表 尺度 用到 尤其 编码 统计分析 问卷 教育 属于 名义 运算 进行 序数 相关 现金 环境温度 班主任 现实意义 现实 现场 环节 现象 一一对应 班级 班长 球形 理想 理想气体 理查 理清 理解 理解力 理解能力 理论 环境污染 率较 环境 状态 特征 特征函数 特征分析 特征参数 特性 特殊 特点 特色化 特质 状况 状图 犹豫
刘*凡,2020/2/19 下午9:31:43,属于 信息 收集 量表 尺度 成绩 运算 本班 是否 要求 距离 乘法 平均数 加法 问卷 班级 学生 性别 平均 得分 类型 名义 能够 进行 序数 采用 使用 认为 情况 确定 计算 数据 球形 现实意义 现象 现金 班主任 特质 特色化 班长 率低 状况 理想 理想气体 理查 特点 理清 理解 理解力 特殊
吴*凡,2020/2/24 下午8:52:06,成绩 尺度 平均 本班 再对 距离 数据类型 序位 身高 数据 学生 操作 乘除 适合 温度 加减 属于 得分 收集 类型 目标 选择 认为 研究 处理 计算 进行 班长 特殊 现实 现实意义 现象 现金 班主任 特性 班级 球形 环节 理想 特征参数 理想气体 理查 理清 理解 理解力 理解能力 现场 环境温度 狭隘 特点
马*倩,2020/2/25 下午2:46:32,同意 尺度 距离 量表 属于 序数 数据 论点 问卷 应该 性别 民族 职业 质疑 名次 单位 运算 选项 设置 无法 测量 转化 数据分析 平均值 确定 成绩 给出 类别 进行 类比 违背 绝不能 数量词 标准分 一栏 讨论区 实际 转化成 道理 同理 根本 视为 期待 等距 比较 表示 原则 类似 地方 次序
王*宇,2020/2/26 上午11:23:22,转化 尺度 计量 水平 量度 是从 量表 获得 属于 序数 距离 过程 进行 环境污染 环境温度 环节 现场 环境 率高 现实 现实意义 一一对应 现象 现金 班主任 班长 球形 理想 理想气体 理查 理清 理解 理解力 理解能力 班级 率越 率随 率较 特异性 特征 特征函数 特征分析 特征参数 特性 特殊 特点 特色化 特质 状况 状图
王*娇,2020/2/19 下午2:32:24,数据 变量 兴趣 记分 距离 说明 实际意义 定比 尺度 类似 无法 量化 身高 四则运算 量表 体重 定量 属于 觉得 进行 利用 学习 得到 比例 需要 具有 问题 理解 理解力 现实 现实意义 现象 现金 班主任 班级 理解能力 班长 球形 理想 理想气体 理查 特点 特殊 理清 特性 特征参数 独立 环节 现场 独立性
冯*娜,2020/2/19 下午2:37:33,尺度 比例 距离 归纳到 显现 特殊 意思 自然 拥有 具有 想法 起点 计量 属性 提出 同样 特征 特性 对象 数学 零点 描述 存在 意义 需要 班主任 特色化 特点 班级 班长 球形 理想 独立 理想气体 理查 特质 特征参数 特征分析 理清 理解 理解力 理解能力 理论 现金 现实 现象 率高 狭隘 猜测 率为
郭*,2020/2/19 下午4:07:27,尺度 间隔 比例 原点 代表 天气 意义 关系 差值 区别 属于 觉得 包含 比较 数据 现金 班主任 班级 班长 生平 生产 球形 理想 理论值 理想气体 理清 甚远 理解 甚少 现象 理解力 理解能力 理论 理查 现场 现实意义 现实 特殊 特点 特色化 特质 状况 状图 状态 犹豫 独特 独立 独立性 狭隘 猜测
刘*凡,2020/2/19 下午9:38:08,尺度 运算 距离 比例 平均数 符合 合理 加减 只能 包含 定义 零点 进行 解释 条件 方式 是否 具有 关系 独立 理想气体 现实意义 现象 现金 班主任 班级 班长 球形 理想 理查 特色化 理清 理解 理解力 理解能力 特殊 理论 理论值 特性 甚少 甚远 特点 特质 独立性 率随 独特 狭隘 猜测 率为 率低
裴*旭,2020/2/21 上午9:54:51,尺度 数据 距离 比例 零点 数值 数据类型 本质 区别 特征 称为 分为 顺序 分类 具有 班主任 环境污染 环境温度 疫苗 环节 现场 现实 现实意义 现象 现金 班级 率高 班长 球形 理想 理想气体 理查 理清 理解 理解力 理解能力 理论 理论值 环境 率较 率随 甚远 特征函数 特征分析 特征参数 特性 特殊 特点 特色化 特质
于*,2020/2/21 上午11:13:01,数据 尺度 比例 数值 区分 转化 距离 测度 零点 成用 正整数 评论 整数 小数 转化成 好像 疑惑 良好 优秀 进行 任意 角度 满足 数据分析 数字 划分 成绩 代表 序数 条件 统计 是否 研究 处理 相关 关系 计算 问题 学生 电网 环境 环境污染 环境温度 界定 环节 画面 现场 现实意义 现实 界线
王*向,2020/2/24 下午12:05:07,事物 一大 某种事物 原来 常见 具备 属性 方便 属于 通常 研究 变量 需要 问题 表示 现象 现金 班主任 班级 现实意义 现实 一一对应 班长 理想 理想气体 理查 理清 理解 理解力 理解能力 理论 理论值 甚少 甚远 生产 球形 环境污染 现场 环节 特征参数 特性 特殊 特点 特色化 特质 状况 状图 状态 犹豫 独特
袁*宁,2020/2/25 上午9:44:45,零点 类型 负分 零分 有无 尺度 温度 成绩 表明 能够 分为 距离 比例 过程 理解力 环境污染 环境温度 环节 现场 现实 理论 理解能力 现实意义 理查 理想气体 理解 现象 现金 班主任 率高 班级 班长 理清 球形 理想 环境 一一对应 率随 率较 特异性 特征 特征函数 特征分析 特征参数 特性 特殊 特点 特色化 特质 状况
刘*佳,2020/2/25 上午11:17:58,尺度 负值 比例 具有 距离 包含 意义 探讨 绝对零度 问题 无法 满足 加减 相应 零点 要求 认为 处理 关系 一一对应 现金 现象 现实意义 现实 班主任 球形 班级 班长 环节 理想 理想气体 理查 理清 理解 理解力 理解能力 理论 理论值 现场 率随 环境温度 环境污染 特征参数 特性 特殊 特点 特色化 特质 状况 状图
宋*婷,2020/2/25 下午8:38:12,乘除 尺度 相交 浏览 课本 数量化 看法 继续 视频 回答 包含 运算 认为 距离 处理 理解 比例 关系 进行 理清 理解能力 现实 现实意义 特征参数 现象 现金 理论值 理论 班主任 特征分析 班级 理解力 球形 理想 理想气体 现场 理查 班长 环境污染 环节 狭隘 特色化 特质 状况 状图 特殊 状态 犹豫 独特 独立
冯*娜,2020/2/18 下午6:12:31,统计 描述性 尺度 方法 事物 摄氏度 检验 百分比 原点 比例 属性 特点 食物 分成等级 约定 温度计 类别 成绩排名 距离 等距 中位数 平均数 具有 固定 差值 正常 性别 数据分析 标准差 数字 特征 单位 代表 方差 零点 名义 序数 分为 认为 分类 测量 意义 情况 比较 数据 学生 表示 进行 理解能力 理解力
夏*,2020/2/18 下午9:07:09,小时 运算 尺度 实例 进行 数量 距离 意义 高考 比例 分析 频数 编号 序数 顺序 计量 数据 性别 乘除 温度 等价 加减 只能 检验 单位 邮编 星级宾馆 科系 宾馆 名义 宗教信仰 排成 录取 冠军 组别 职业 意味着 天气预报 时间 相关 递增 二项式 身长 显示 表示 级别 回归 总分 具有 依次
尹*华,2020/2/19 上午10:14:09,计量 例子 尺度 更好 获得 距离 一一对应 现金 班长 班级 班主任 现实意义 现象 现实 现场 环节 球形 理想气体 理想 环境污染 理查 理清 理解 理解力 理解能力 理论 理论值 甚少 甚远 生产 环境温度 率随 环境 状态 特征 特征函数 特征分析 特征参数 特性 特殊 特点 特色化 特质 状况 状图 犹豫 率高 独特 独立 独立性
邓*,2020/2/19 下午4:24:24,小时 尺度 计量 兼有 距离 比例 提到 体现 功能 数据 时刻 获得 含义 例子 举例 理论 班主任 现实 甚远 甚少 现实意义 现象 现金 班长 班级 球形 理想 理想气体 现场 理查 理清 理解 理论值 理解力 理解能力 一一对应 环境 环节 环境温度 特性 特殊 特点 特色化 特质 状况 状图 状态 犹豫 独特 独立
尹*华,2020/2/19 下午5:39:51,尺度 举例说明 保证 层级 表示 名义 信息量 序数 距离 时间 比例 关系 一一对应 班主任 现金 现象 现实意义 现实 现场 环节 班级 理想 班长 球形 环境污染 理想气体 理查 理清 理解 理解力 理解能力 理论 理论值 甚少 甚远 环境温度 率越 环境 率高 特征函数 特征分析 特征参数 特性 特殊 特点 特色化 特质 状况 状图 状态
夏*,2020/2/20 下午4:28:02,比较 尺度 符号 身高 意义 具有 名义 运算 类别 序数 考量 判别 批评指正 欢迎 想法 是从 性别 属性 运用 数量 代表 方面 包含 相互 认为 相同 进行 理解 理解能力 现场 理解力 现实 现实意义 理想 现象 球形 班主任 理清 理查 理想气体 环节 班级 班长 现金 环境 环境温度 环境污染 特殊 特点 特色化
王*娇,2020/2/19 下午3:08:13,逐级 信息量 感谢 递增 逐渐 增加 觉得 包含 运算 复杂 解释 说明 尺度 数据 进行 现场 现金 现实 环节 环境温度 现实意义 现象 一一对应 班主任 班级 班长 球形 理想 理想气体 理查 理清 理解 理解力 理解能力 理论 环境污染 率越 环境 率高 特征函数 特征分析 特征参数 特性 特殊 特点 特色化 特质 状况 状图 状态
于*,2020/2/21 上午10:13:19,温度 负值 尺度 零点 相乘 条件 整数 距离 界定 疑惑 疑问 即可 数据 满足 数据分析 乘除 举例 是否 比例 比较 进行 现金 现象 理论值 理论 班主任 理解能力 班长 班级 理解力 球形 现实 理想 理想气体 理查 理清 理解 现实意义 一一对应 现场 环节 特征参数 特性 特殊 特点 特色化 特质 状况 状图 状态
吴*凡,2020/2/24 下午9:13:09,物体 温度 尺度 测得 距离 比例 界定 未知 表示 零点 是否 认为 数据 班长 班级 现实 班主任 现场 现象 现实意义 现金 一一对应 球形 理想 环境温度 理想气体 理查 理清 理解 理解力 理解能力 理论 理论值 甚少 环节 率较 环境污染 犹豫 特征函数 特征分析 特征参数 特性 特殊 特点 特色化 特质 状况 状图 状态 独特
马*倩,2020/2/25 下午2:48:26,摄氏温度 温度 属于 尺度 应该 原因 表示 方式 认为 质疑 欢迎 观点 确定 数量化 绝对零度 讨论 乘除 例子 单位 具体 运算 达到 存在 距离 比例 具有 进行 状况 现金 特点 环境温度 留给 环节 特殊 现场 现实 现实意义 现象 班主任 状图 班级 特性 班长 球形 理想 特征参数 理想气体 理查 理清 留言
何*,2020/2/21 上午10:42:28,有条理 表格 总结 呈现 很好 更好 效果 形式 现实 现实意义 现场 现金 班主任 班级 环节 班长 球形 现象 理想 环境污染 理想气体 理查 理清 理解 理解力 理解能力 理论 理论值 甚少 甚远 生产 生平 环境温度 一一对应 环境 状态 特征 特征函数 特征分析 特征参数 特性 特殊 特点 特色化 特质 状况 状图 犹豫 率高 独特
施*,2020/2/21 下午3:00:00,统计分析 很好 测量 接触 整理 二项式 因子分析 序列 例子 检验 具体 内容 变量 相关 尺度 数据 分析 进行 现象 现金 班级 现实意义 现实 班主任 理想 班长 球形 理想气体 理查 理清 理解 理解力 理解能力 理论 理论值 甚少 甚远 生产 现场 一一对应 环节 环境温度 特性 特殊 特点 特色化 特质 状况 状图 状态
汪*池,2020/2/21 下午3:04:34,温度 尺度 开心 换算 在生活中 共识 达成 算是 距离 帖子 真的 常规 一直 二项式 疑问 不到 不可 总结 已经 因子分析 感觉 特别 例子 检验 属于 具体 零点 分析方法 应该 认为 存在 实际 内容 研究 相关 比例 关系 数据 状图 现象 环境温度 留言 特殊 环节 现场 留给 现实 现实意义 班主任 现金
王*宇,2020/2/26 上午11:31:41,零点 否认 不到 是不是 温度 存在 理解 班长 班级 一一对应 班主任 球形 现象 现实意义 现实 现场 现金 理查 理想 理想气体 环境温度 理清 理解力 理解能力 理论 理论值 甚少 甚远 生产 生平 环节 环境 环境污染 生态系统 特征 特征函数 特征分析 特征参数 特性 特殊 特点 特色化 特质 状况 状图 状态 犹豫 独特 独立 独立性
夏*,2020/2/18 下午10:10:51,信息量 一般而言 精确 递增 尺度 依次 数据分析 包含 能够 应该 选择 实际 班长 班级 现金 班主任 现象 现实意义 现实 现场 环节 球形 理清 理想 理想气体 理查 环境污染 理解 理解力 理解能力 理论 理论值 甚少 甚远 生产 环境温度 一一对应 环境 犹豫 特征函数 特征分析 特征参数 特性 特殊 特点 特色化 特质 状况 状图 状态
林*如,2020/2/19 下午1:27:59,尺度 患者 研究 结论 地区 人数 选择 利于 名义 关注 得出 数据处理 定性 数据 适用 比例 定量 需要 觉得 目的 表示 收集 类型 序数 统计 只用 疑似 健康 就要 人群 距离 批评指正 想要 欢迎 轻症 重症 疫情 用到 频数 想法 满足 方法 本质 考虑 区分 特点 运算 因素 进行 数值
夏*,2020/2/20 下午4:38:13,选择 尺度 局限于 感谢 实际 需要 总结 应用 研究 情况 特殊 球形 现场 现实 现实意义 现象 特征函数 现金 特征 班主任 班级 班长 理想 环境温度 理想气体 特异性 理查 理清 理解 理解力 理解能力 理论 理论值 环节 环境污染 特点 特征分析 特色化 特质 状况 特性 状图 状态 犹豫 独特 特征参数 独立 独立性 环境 狭隘
王*娇,2020/2/19 下午3:05:29,划分 觉得 真实情况 道理 赞同 尤其 总结 很大 区别 同学 具体 收集 运算 统计 一定 比较 尺度 数据 进行 班级 现场 现实 现实意义 现象 现金 特性 班主任 特征分析 班长 理解能力 环节 理想 理想气体 理查 理论 理清 理解 特征参数 理解力 球形 特色化 特殊 特点 特质 状况 状图 状态 犹豫 独特 独立
邓*,2020/2/19 下午4:48:28,尺度 度量 区分 名义 归于 距离 比例 有序 计量 差别 定性 数据 运算 序数 分为 进行 理清 现金 环节 现场 理论 现实 现实意义 现象 理解能力 班主任 理查 班级 班长 理论值 球形 理想 环境温度 理想气体 理解力 理解 甚少 率随 环境污染 环境 特征分析 特征参数 特性 特殊 特点 特色化 特质 状况 状图 状态
何*铭,2020/2/20 下午2:18:49,对象 赋予 趋势 数值 集中 距离 数据 量表 算数 频繁 偏离 女性 均值 平均数 观测 统计分析 得知 适用 度量 属性 样本 衡量 标准差 名义 类别 出现 指标 反映 测量 比较 尺度 具有 程度 表示 进行 率来 状况 特质 特色化 现金 班主任 班级 班长 球形 理想 状图 理想气体 理查 特点 理清
马*茹,2020/2/20 下午2:55:07,研究 拿捏 不准 相结合 赞同 看法 结论 更好 思考 同学 实现 目的 实际 一定 理想 班主任 现金 班长 球形 现象 班级 理清 理想气体 理查 理解 理解力 理解能力 理论 理论值 甚少 甚远 生产 现实意义 一一对应 现实 独立性 特征参数 特性 特殊 特点 特色化 特质 状况 状图 状态 犹豫 独特 独立 狭隘 现场
夏*,2020/2/20 下午4:14:05,感谢 分享 总结 一一对应 环境温度 环节 现场 现实 现实意义 现象 现金 班主任 班级 班长 球形 环境 理想 理想气体 理查 理清 理解 理解力 理解能力 理论 理论值 甚少 甚远 生产 环境污染 率高 生态 率随 特异 特异性 特征 特征函数 特征分析 特征参数 特性 特殊 特点 特色化 特质 状况 状图 状态 犹豫 独特 独立 独立性
于*,2020/2/21 上午10:35:54,选择 研究 相关 观点 赞同 实验 角度 结论 合适 思考 目的 进行 统计 变量 尺度 数据 方法 分析 理解力 现场 现实 理论 现实意义 现象 理解能力 理解 现金 班主任 理清 班级 环节 球形 理想 理想气体 理查 班长 一一对应 环境温度 环境污染 特征分析 特征参数 特性 特殊 特点 特色化 特质 状况 状图 状态 犹豫
唐*,2020/2/21 下午12:23:20,研究 赞同 看法 数据处理 同学 目的 类型 选择 要求 尺度 方法 现场 环节 现实意义 环境温度 现象 现金 环境污染 班主任 班级 现实 一一对应 班长 环境 理想 理想气体 理查 理清 理解 理解力 理解能力 理论 理论值 甚少 球形 率较 率高 状图 特异性 特征 特征函数 特征分析 特征参数 特性 特殊 特点 特色化 特质 状况 状态
刘*凡,2020/2/23 下午7:01:02,实际 研究 数据处理 目的 类型 选择 认为 变量 情况 方法 班长 班级 班主任 现实意义 现金 现象 现实 现场 环节 球形 一一对应 理想 理想气体 环境污染 理查 理清 理解 理解力 理解能力 理论 理论值 甚少 甚远 环境温度 率随 环境 率高 特征函数 特征分析 特征参数 特性 特殊 特点 特色化 特质 状况 状图 状态 犹豫 独特
陈*琪,2020/2/24 下午3:23:31,研究者 需求 应该 选择 班级 率高 环境 环境污染 环境温度 环节 现场 现实 现实意义 现象 现金 班主任 一一对应 班长 率随 理想 理想气体 理查 理清 理解 理解力 理解能力 理论 理论值 甚少 甚远 球形 率越 率较 特质 特定 特异 特异性 特征 特征函数 特征分析 特征参数 特性 特殊 特点 特色化 状况 生平 状图 状态 犹豫
马*倩,2020/2/25 下午2:53:53,实际 尺度 转化 数据分析 需要 设计 数据 纠结 进行 问卷 量表 属于 觉得 应该 序数 选择 距离 分析 环境温度 理解 环境 率高 环节 现场 环境污染 理想气体 现实 现实意义 理清 现象 现金 班主任 班级 班长 球形 理想 理查 率越 率随 状况 特异 特异性 特征 特征函数 特征分析 特征参数 特性 特殊 特点 特色化
胡*灵,2020/2/27 上午10:15:51,尺度 是定 数据 高层 选择 男女 数据处理 性质 学生 明显 分数 只能 成绩 觉得 类型 名义 进行 方式 分类 研究 信息 具有 问题 分析 理清 现金 甚少 现实意义 理论值 现象 理论 班主任 理解能力 理解 班级 班长 球形 理想 理想气体 理查 理解力 现实 一一对应 现场 狭隘 特点 特色化 特质 状况 状图
李*秀,2020/2/18 下午11:02:10,数值 尺度 运算 可用 距离 身高 位置 表示 体重 比例 数字 零点 加减法 进行 序数 统计 全班学生 可任意 要求 摄氏度 代数 意义 指数值 百分比 具有 算术 个体 方差分析 方法 适合 平均值 属性 温度 分析 等价 标准差 成绩 检验 符号 单位 排序 名义 类别 顺序 相关系数 测量 相关 确定 比较 关系
