id,time,key
何*铭,2020/2/20 下午2:06:58,不会取 距离尺度 中的抽象概念 中的线 几何中的 取负值 尺度负值 数学中的 比例尺不会 比例尺值 物体体积 线面的 绝对零度只能 面的体积 负值不会 尺度比较 取值 极限情况 只能接近 值不会 完全达到 可能完全
宋*婷,2020/2/25 下午8:51:00,中的参照物 物理中的 类似于初中 初中物理 距离尺度 里类似于 尺度里 理解距离 是否理解
李*秀,2020/2/20 下午5:02:41,别谈是否 更别谈 物体长度 绝对零度距离 零下温度表示 认同看法 距离尺度 比例尺度 零点位置 确定零点 存在物体 是否长度 距离值 表示物体 尺度没有 尺度中 没有确定
李*格,2020/2/20 下午5:20:36,比例尺绝对 存在负值 尺度负 相当于界限 绝对零点 距离尺度 理解看来 不能存在
裴*旭,2020/2/21 上午9:45:17,距离尺度 中的已经 比例尺中的 比例尺具有 负数便 尺度负 绝对零点 具有零点 尺度数据 表示数值 认为距离 数据存在 没有绝对 便更 更存在 数据表示 表示数据 已经表示
唐*,2020/2/21 下午12:10:56,比例尺绝对 没有负数 尺度负 绝对零点 距离尺度 一般来说应该 认为距离 应该没有
王*向,2020/2/24 下午12:01:34,认为负数 通常没有 没有习惯
袁*宁,2020/2/24 下午6:16:02,绝对零点 比例尺绝对 没有负数 距离尺度 负数 尺度没有 认为距离 没有绝对
施*,2020/2/21 下午2:40:34,绝对零点 距离尺度 差值意义 差值负数 数据差值 比例尺具有 比例尺负 尺度负 绝对起点 具有绝对 尺度没有 零点表示 认为距离 没有绝对 应该存在 表示没有
刘*佳,2020/2/25 上午11:21:57,尺度负值 比例尺具有 绝对零点 距离尺度 负值没有 具有绝对 认为距离 没有意义
夏*,2020/2/18 下午8:45:29,距离尺度 属于测度 提问不妥 比例尺距离 测度层次 统称定量 尺度包含 尺度比例 比例尺度 定量数据 运算范围 尺度属于 数据看作 看作数据 真正零点 知道运算 数值性 数据数值 包含范围 有时候面对 进行区分 觉得提问 觉得有时候 范围广 范围距离 尺度没有 感觉确实 知道理解 没有区别 面对不同 不同需求 认为距离 性数据 需求需要 可能标准 确实没有 没有真正 说距离 需要进行 应该说
尹*华,2020/2/19 上午10:17:11,距离尺度 值比例尺 具有绝对零度 绝对零度距离 尺度值 尺度距离 比例尺度 尺度特殊 特殊情况 说具有 看到说
夏*,2020/2/20 下午4:31:18,下面裕如 包含范围广 裕如同学 尺度包含 存在交集 列举特殊 比例尺度 交集部分 考量之间 方面考量 同学分享 觉得道理 角度说明 范围角度 存在包含 说明比例 包含关系 也许之间 不够全面 方面不够 之间并不 没有考虑到 并不存在 考虑方面 特殊情况 之间关系
林*如,2020/2/19 下午1:02:03,距离尺度 比例尺度 包含关系 绝对零点 统计学意义 计量尺度 尺度距离 尺度中 不具备比例尺 两者之间没有 乘除特点 假设比例尺 关系种属 哺乳动物包含 尺度不具备 尺度序数 尺度统计学 序数尺度 数值乘除 数值统计学 有无零点 欢迎批评指正 比例尺具有 比例尺包含 没有考试成绩 种属关系 简单有无 统计学含义 能算包含 觉得两者之间 觉得能算 隶属于计量 零点含义 零点数值 存在统计学 计量值 哺乳动物特点 尺度包含 属于哺乳动物 假设距离
王*娇,2020/2/19 下午2:41:47,数据收集 进行四则运算 体重定比 分类不对 包含多种类型 变量间 四则远 四则运算意义 学习动机学习 定比数据 属于序数 序数尺度 探讨变量 李克特 标准偏差相关系数 特量表 相关系数探讨 算术平均标准偏差 类似学习动机 类似于李克 计算算术平均 进行四则 量表尺度 量表记分 隐变量 变量数据 记分制 零点无关 问卷星 尺度包含 成绩排序 名义尺度 参与隐 身高体重 数值间 距离尺度 比例尺度 距离零点 觉得问卷 收集运用
冯*娜,2020/2/19 下午2:49:07,不能加减乘除 中的量表 加减乘除运算 尺度序数 序数尺度 星中的 经常量表 量表大部分 问卷星 名义尺度 编码之后 相关统计分析 进行编码 属于名义 大部分属于 尤其教育 教育经常 大部分进行 之后再 再进行 进行相关
刘*凡,2020/2/19 下午9:31:43,式量表 李克特 属于距离 信息收集 收集信息 乘法运算 加法运算 属于序数 序数尺度 本班学生 李克特式 求平均数 计算本班 认为李克 采用李克 量表属于 量表收集 运算求 班级性别 问卷收集 尺度类型 距离尺度 名义尺度 进行加法 进行乘法 平均得分 使用问卷 数据尺度 性别属于 特式 收集属于 成绩计算 属于名义 大部分采用 得分情况 成绩属于 是否成绩 学生成绩 确定数据 成绩信息
吴*凡,2020/2/24 下午8:52:06,加减求 序位成绩 数据类型相 本班学生 计算本班 认为序位 选择数据类型 包括加减 尺度类型 距离尺度 适合尺度 尺度操作 身高温度 温度收集 平均得分 成绩身高 相适合 求平均 成绩计算 收集数据 属于距离 成绩属于 操作包括 学生成绩 学生平均 目标选择 研究目标 再数据 数据进行 进行处理
马*倩,2020/2/25 下午2:46:32,距离尺度 序数尺度 量表题 应该属于 成绩名次 尺度数据 李克特量表 属于距离 李克特 属于序数 民族职业 中设置 题数据 问卷中 没有确定 特量表 平均值运算 求平均值 一栏常用 中给出 之间差值 之间等距 以下论点 加减运算 名次转化 差值不能 性别一栏 提出李克 数据转化成 数据分析李克特 数量词仅 符合序数 给出同意 给出答案 绝不能属于 讨论区中 论点性别 设置李克特 说李克 转化标准分
王*宇,2020/2/26 上午11:23:22,层次计量 计量尺度 属于量度 序数尺度 是从序数 转化是从 量度水平 尺度转化 较低层次 量表进行 距离尺度 较高层次 尺度获得 转化距离 低转化 获得较低 转化水平 转化过程 进行转化 水平低 水平高
王*娇,2020/2/19 下午2:32:24,兴趣隐 具有实际意义 变量说明 定比数据 属于定比 显变量 李克特 特量表 类似于李克 距离变量 隐变量 量表得到 进行四则运算 变量无法 定量说明 不能混为一谈 数据定量 身高体重 得到记分 距离尺度 记分数据 变量问题 尺度比例 比例尺度 尺度不能 利用显 学习兴趣 体重数据 进行量化 觉得距离 需要距离 数据具有 无法数据 数据需要 问题数据 数据进行
冯*娜,2020/2/19 下午2:37:33,比例尺度 距离尺度 尺度特性 尺度零点 归纳到距离 比例尺具有 比例尺归纳到 计量特征 数学尺度 对象计量 尺度特殊 特征数学 显现比例 尺度拥有 尺度指 同样属性 自然起点 意思比例 零点存在 用于描述 描述对象 绝对自然 特殊距离 具有绝对 指用于 具有距离 拥有同样 存在意义 需要提出
郭*,2020/2/19 下午4:07:27,间隔尺度 原点绝对 尺度原点 尺度比例尺 比例尺间 区别间隔 最主要区别 原点代表 尺度比例 比例尺度 尺度属于 间最主要 差值 属于层次 觉得间隔 层次关系 比例意义 包含关系 比较差 之间比例 代表绝对 没有包含 数据之间 之间比较 中意义 天气中
刘*凡,2020/2/19 下午9:38:08,距离尺度 比例尺度 加减求 平均数运算 求平均数 运算方式上 进行加减 绝对零点 零点距离 尺度只能 尺度具有 尺度条件 进行运算 包含关系 尺度进行 符合距离 具有绝对 是否合理 条件符合 解释是否 只能进行
裴*旭,2020/2/21 上午9:54:51,距离尺度 尺度数据 比例尺度 数值型 数据类型分为 本质有区别 比例尺零点 称为数值 绝对零点 尺度称为 尺度距离 比如说距离 分为分类 数据数值 数据顺序 顺序数据 分类数据 数据特征 尺度没有 具有距离 型数据 数据具有 没有绝对
于*,2020/2/21 上午11:13:01,尺度数据 距离尺度 比例尺数据 数值型 型数据 测度等级 绝对零点 不及格良好 代表不及格 低测度 取小数 均正整数 尺度比例尺 序数尺度 数据转化成 比例尺任意 满足比例尺 转化成序数 高级测度 数据分析角度 取整数 明白疑惑 角度数值 整数数据 尺度绝对 疑惑距离 等级转化 比例尺度 好像明白 条件数值 数据数值 以下划分 任意条件 明确区分 数据区分 转化距离 关系区分 转化低 划分成 统计计算
王*向,2020/2/24 下午12:05:07,某种事物突然 事物一大 原来事物 变量表示 新的事物 新的属性 突然具备 具备新的 属于原来 通常研究 研究方便 常见问题 方便需要
袁*宁,2020/2/25 上午9:44:45,绝对零点 成绩有零 有无绝对 有零负分 温度零度 表明从无到有 零点相对于 从无到有过程 相对零点 相对于相对 距离尺度 比例尺度 零点表明 恰好能够 不同类型 能够分为 分为不同 尺度没有 没有绝对
刘*佳,2020/2/25 上午11:17:58,尺度具有 比例尺度 距离尺度 具有绝对零度 尺度中的 意义加减 比例尺无法 绝对零度距离 负值意义 具有负值 加减问题 绝对零点 负值没有 包含比例 完全包含 具有包含 满足相应 包含关系 具有绝对 尺度没有 问题探讨 无法满足 尺度说 相应要求 认为具有 没有意义 没有完全 问题处理 说具有
宋*婷,2020/2/25 下午8:38:12,乘除运算 再继续浏览 单从处理 数量化尺度 相交包含 不能乘除 浏览回答 视频课本 进行乘除 认为相交 尺度理解 距离尺度 比例尺度 课本之后 看完视频 看完之后 尺度不能 之后看法 包含关系 尺度进行
冯*娜,2020/2/18 下午6:12:31,统计方法 距离尺度 描述性统计 事物属性 方法百分比 中位数描述性 众描述性 学生成绩排名 尺度事物 尺度原点 属性分成等级 平均数标准差 序数尺度 成绩排名统计 方差检验 方法方差 标准差描述性 检验序数 比例尺具有 百分比中位数 百分比众 等级等距 等距特征 尺度中原 方法平均数 不同原点 原点不同 原点代表 类别等级 数据分析方法 方法数据分析 分为类别 名义尺度 事物特点 中原固定 绝对零点 尺度距离 性别分为 比例尺度 类别正常
夏*,2020/2/18 下午9:07:09,尺度数量 进行加减 不能进行 乘除运算 层次计量 序数尺度 频数分析 仅具有 只能进行 求众数 计量尺度 进行频数 不能四则 中的温度 事物依其 二项式检验 体育竞赛冠军 依其特征 依次递增 信息量依次 加减乘除 加减运算 包含信息量 卡二项式 四则计算 回归因子分析 天气预报中的 实例体育竞赛 实例性别 实例身长 实例高考 尺度事物 差值比例 性别科系 排成顺序 数据差值 方差回归 方法分析方法 检验方差 相关方差分析
尹*华,2020/2/19 上午10:14:09,层次计量 计量尺度 尺度例子 举例子 例子举 较低层次 距离尺度 较高层次 例子更好 举很好 尺度获得 获得较低
邓*,2020/2/19 下午4:24:24,距离尺度 层次计量 计量尺度 比例尺度 尺度中 兼有等级低 尺度含义 等级低数据 尺度更高 较低层次 更高层次 尺度距离 较高层次 例子体现 尺度获得 体现较高 获得较低 提到距离 等级高 举例中 小时小时 数据功能 晚小时 小时长 长小时 高数据 中提到 说小时 说晚 不能说
尹*华,2020/2/19 下午5:39:51,举例说明了 保证信息量 信息量层级 尺度序数 尺度比例尺 序数尺度 比例尺表示 名义尺度 距离尺度 层级关系 说明了时间 时间距离
夏*,2020/2/20 下午4:28:02,符号意义 具有符号 序数尺度 名义尺度 判别符号 尺度属性 数量判别 是从运用 欢迎批评指正 越高尺度 包含运算 层次越高 运用运算 尺度包含 尺度相同 相同类别 身高性别 运算更多 尺度具有 运算方面 类别比较 代表类别 方面考量 身高之间 性别不能 具有名义 之间相互 相互比较 尺度中 意义代表 比较数量 意义不能 认为具有 不能比较 进行比较 不能进行 中比较
王*娇,2020/2/19 下午3:08:13,信息量逐渐 信息量逐级 包含信息量 觉得好棒 逐级递增 尺度包含 明白尺度 运算越 进行运算 感谢说明 越复杂 增加赞 逐渐增加 解释觉得 不同数据 数据进行
于*,2020/2/21 上午10:13:19,距离尺度 取负值 条件优先级 数据相乘 绝对零点 氏温度 进行乘除 尺度比例 比例尺度 数据分析不能 界定数据 是否界定 温度距离 开氏 疑问是否 条件即可 满足条件 数据距离 比较条件 说满足 不能进行 说高
吴*凡,2020/2/24 下午9:13:09,距离尺度 测得物体 温度表示 尺度中 物体温度 尺度比例尺 比例尺是否 温度未知 比例尺度 绝对零点 没有测得 表示测得 界定数据 温度距离 是否绝对 数据距离 认为温度 表示没有
马*倩,2020/2/25 下午2:48:26,应该属于 氏温度 不会摄氏温度 不同数量化 乘除运算 夏青举 摄氏温度具有 摄氏温度应该 摄氏温度进行 数量化尺度 绝对零度 举例子 进行乘除 距离尺度 比例尺度 开氏 温度值 单位尺度 比如说不会 欢迎讨论 具体温度 属于距离 属于比例 达到值 温度应该 讨论质疑 具有确定 属于不同 例子中 温度表示 确定单位 方式应该 温度中 可能达到 中绝对 不会认为 表示具体 表示方式 表示存在 认为表示
何*,2020/2/21 上午10:42:28,表格形式 总结很好 形式呈现 呈现可能 可能效果 会更好 效果会
施*,2020/2/21 下午3:00:00,二项式检验 因子分析二项式 检验序列 测量变量 测量尺度 罗列测量 例子测量 数据统计分析 统计分析方面 变量进行 序列相关 尺度分析 进行统计分析 整理很好 具体例子 太多接触 太明白 分析很好 接触数据 没有太多 方面内容 相关太
汪*池,2020/2/21 下午3:04:34,氏温度 开氏 距离尺度 中的内容 二项式检验 具体分析方法 在生活中可达 检验因子分析 温度在生活中 研究中的 尺度举 存在换算 换算关系 温度例子 绝对零点 比例尺度 常规温度 共识温度 达成共识 算是距离 真的谢谢 帖子感觉 温度属于 举开 应该算是 不到绝对 属于距离 温度存在 温度应该 取不到 总结特别 疑问已经 查开 感觉实际 已经达成 说常规 太明确 数据具体 明确数据 实际研究
王*宇,2020/2/26 上午11:31:41,绝对零点 中达不到 日常生活中达 零点日常生活 氏温度 温度绝对 零点存在 否认绝对 开氏 是不是理解 不能否认
夏*,2020/2/18 下午10:10:51,一般而言信息量 依次递增 信息量依次 信息量越多 包含信息量 尺度包含 数据分析更加 能够数据分析 更加精确 尺度应该 越多能够 中尺度 应该选择 实际中
林*如,2020/2/19 下午1:27:59,名义尺度 地区患者 患者人数 更加关注 需要选择 数据进行 数据收集 研究目的 比例尺度 尺度序数 序数尺度 数据处理方法 利于定性 利于定量 可能用到 想要得到 欢迎批评指正 用到名义 用到比例 觉得想要 轻症患者 适用定量 频数统计 进行频数 适用定性 距离尺度 尺度比例 表示轻症 定量数据 试本质 特点区分 定量研究 运算分析 量数值 分为结论 得出人群 本质特点 数值之间 定性数据 重症患者
夏*,2020/2/20 下午4:38:13,选择尺度 不应局限于 感谢裕如 裕如总结 局限于选择 尺度需要 实际应用 看来实际 实际研究 需要实际 需要选择 应用中 研究情况 中选择
王*娇,2020/2/19 下午3:05:29,具体真实情况 林裕如 裕如同学 统计运算 尺度很大 总结道理 前面林 很大区别 比较赞同 划分觉得 划分比较 觉得前面 同学总结 觉得收集 收集数据 区别进行 数据具体 进行统计
邓*,2020/2/19 下午4:48:28,不作区分 尺度比例尺 差别微不足道 序数尺度 归于度量 往往不作 有序度量 比例尺归于 计量尺度 距离比例尺 比例尺中 尺度分为 名义尺度 尺度名义 尺度很好 很好区分 距离尺度 数据计量 定性数据 名义有序 分为名义 数据尺度 进行运算 中差别 不能进行
何*铭,2020/2/20 下午2:18:49,赋予数值 集中趋势 距离数据 众数众数 众数出现 均值偏离 尺度量表 度量均值 指标算数 标准差表示 正确量表 程度通产 算数平均数 统计分析适用 通产标准差 量表众数 常用衡量 几乎统计分析 所属类别 频繁数值 属性赋予 数值对象 偏离程度 趋势常用 距离尺度 衡量指标 测量得知 观测对象 反映观测 对象所属 具有属性 适用距离 类别数据 得知大小 趋势正确 仅仅反映 大小比较 数据仅仅 名义数据 进行测量
马*茹,2020/2/20 下午2:55:07,拿捏不准 林裕如 裕如同学 赞同林 十分赞同 同学看法 结论更好 不准实际 研究相结合 研究结论 思考研究 研究目的 更好实现 实际研究 实现研究
夏*,2020/2/20 下午4:14:05,总结分享 感谢总结 说很好
于*,2020/2/21 上午10:35:54,进行相关 最后裕如 裕如观点 裕如说 赞同裕如 角度思考 尺度数据 合适统计 选择合适 结论研究 统计方法 相关结论 实验研究 研究角度 数据选择 相关分析 目的进行
唐*,2020/2/21 下午12:23:20,裕如同学 赞同裕如 数据处理方法 同学看法 不同尺度 类型不同 研究类型 目的选择 研究目的 方法不同 选择不同 不同要求
刘*凡,2020/2/23 下午7:01:02,变量类型 数据处理方法 应变量 选择数据处理 类型研究 目的实际 研究目的 实际研究 认为实际 实际情况 情况选择 中应 研究中
陈*琪,2020/2/24 下午3:23:31,研究者需求 应该研究者 需求选择
马*倩,2020/2/25 下午2:53:53,数据尺度 需要进行 属于序数 序数尺度 李克特量表 量表应该 实际数据分析 尺度转化 过于纠结 数据分析实际 距离尺度 实际问卷 问卷设计 尺度数据 转化距离 尺度选择 纠结数据 需要过于 应该属于 实际需要 进行分析 进行设计 数据进行 进行数据
胡*灵,2020/2/27 上午10:15:51,及格不及格 不及格分类 不及格学生 分析及格 高层尺度 选择数据处理 定尺度 名义尺度 数据处理方式 进行及格 尺度数据 数据尺度 尺度研究 具有性质 只能名义 数据类型 男女只能 类型选择 明显定 分数进行 学生成绩 数据具有 觉得可能 学生信息 可能不能 问题数据 进行选择 研究问题 不能进行
李*秀,2020/2/18 下午11:02:10,不能进行 尺度值 零点位置 统计方法 分析中 序数尺度 代数运算 众数分析 值标准差 全班学生成绩 具有等价 加减法运算 可任意取 可用数值 可用百分比 属性类别 指数值间 方差分析相关 标准差求 求相关系数 用于方差分析 百分比众数 相关系数统计 等价单位 算术平均值 计算算术平均 进行代数 个体属性 体重数值 距离尺度 名义尺度 数值群 进行加减法 符号意义 测量温度 数值比例 身高体重 比例尺度 具有符号 数值型
林*如,2020/2/19 下午1:39:51,用到比例尺 重症患者 患者轻症 轻症患者 尺度用到 序数尺度 得到统计学 比例尺用到 用到序数 统计学意义 那是用到 分为重症 尺度解释 运算比较 统计重症 觉得尺度 患者分为 进行运算 解释很好 疫情情况 统计人数 患者人数 里面患者 意义数据 进行分类 情况患者 人数进行 患者进行
梁*玲,2020/2/19 下午4:50:10,序数尺度 没有用到 用到序数 偏重于数值 尺度偏重于 排列顺序 数值排列 轻症指 重症轻症 数值群 指总人数 总人数进行 进行排序 觉得应该 应该没有
林*如,2020/2/19 下午5:10:51,谢谢玲玲 名义排序 是不是排序 玲玲同学 收集尺度 想问数据 同学解答 算名义 数据收集 觉得是不是
郭*,2020/2/19 下午7:52:48,进行鉴别 分为轻症 又称定序 定序尺度 序数尺度 某种程度轻症 用到序数 觉得用到 轻症重症 重症某种程度 鉴别分成 特征类别 患病特征 属性特征 大小测量 鉴别能够 疫情分为 对象属性 测量对象 指测量 指重症 测量方式 比较大小 类别进行 只能比较 比较指 特征进行 能够比较
汪*,2020/2/20 下午3:44:14,分成重症 名义尺度 病人分成 女性量化 重症患者 量化方式 理解病人 患者疑似 疑似患者 分为男性 患者分为 应该名义 男性女性 采用应该
夏*,2020/2/20 下午4:56:54,序数尺度 用到序数 事物依其 依其特征 具有序数 尺度事物 尺度符号 感觉用到 排成顺序 比例尺应该 觉得比例尺 认为用到 顺序等级 属性大小 名义尺度 特征属性 符号意义 标准为重 知道运算 运算代表 尺度比较 属性能够 判定标准 比较属性 重轻 大小程度 属于病人 进行运算 轻之间 标准轻 具有名义 高于标准 表示属性 低于标准 确定属于 比较确定 应该具有 之间存在 应具有 存在比较
裴*旭,2020/2/21 上午10:27:38,中位数算术平均 众数中位数 加减运算 数据众数 用到比例尺 用到距离 算术平均值 认为用到 运用加减 需要用到 减运算 运算即可 距离尺度 表现数值 值描述 测量表现 尺度数据 具有顺序 顺序数据 加减 数据性质 患者人数 比较运用 人数比较 觉得患者 数据具有 进行加
刘*佳,2020/2/25 上午11:32:09,距离尺度 加减算法 运用加减 减少负值 运算运用 尺度话 绝对零点 零点位置 太严谨 尺度太 运用距离 话太 具有绝对 觉得运用 尺度没有 没有零点 太适合 人数减少 觉得距离 说人数 不能说
冯*珂,2020/2/21 下午8:35:58,比例尺度 觉着应该 计量尺度 轻症患者 重症轻症 尺度比例 统计类别 应该计量 不同类别 不止统计 关心人数 应该不止 符合比例 更加关心 患者数量 统计应该 代表患者 患者代表 代表不同 患者没有
吴*凡,2020/2/24 下午9:23:53,重症轻症 名义尺度 加减求平 求平均等 轻症分为 轻症数量 做加减 距离尺度 分为重症 尺度距离 尺度记录 区别即可 尺度患者 记录重症 女性理 做出区别 分为男性 患者分为 相互比较 使用名义 男性女性 需要做出 应使用 认为应
刘*佳,2020/2/25 上午11:29:32,尺度进行 序数尺度 比例尺度 运用序数 轻症类别 重症轻症 排序意义 类别病人 分为重症 具有排序 尺度比例 尺度具有 病人运用 运用比例 进行排序 再类别 先病人 标准分为 应该运用 病人规定 进行计算 规定标准 之后再 认为应该
王*宇,2020/2/26 上午11:46:46,尺度获得 序数尺度 名义尺度 层次计量 计量尺度 应该序数 尺度层次 较低层次 层次高于 较高层次 尺度因素 高于名义 是不是较高 获得较低 因素是不是 获得名义 可能名义 觉得应该 认为可能
张*璟,2020/2/26 下午7:41:56,轻重症 没有意义 划分用到 序数尺度 用到序数 重症划分 会用饼状 值标准差 图柱状图 柱状图方式 标准差没有 等级排序 通常会用 重症占比 饼状图 不易衡量 表示轻症 差距不易 排序关系 重症之间 等级之间 存在等级 认为轻 之间差距 均值 计算均 表示重症 表示轻 减没有 之间存在 方式表示
王*娇,2020/2/19 下午2:28:21,尺度数字 距离尺度 比例尺度 名义尺度 尺度值 统计处理 序数尺度 用于表示 具有等价 具有绝对零度 又称间隔 存贮带来 尺度又称 尺度序数 尺度数值 指数值间 排列顺序 比例尺比例 求相关系数 相关系数统计 等价单位 算术平均值 绝对零度距离 计算标准差 计算算术平均 身长体重 间隔尺度 进行四则运算 体重数值 具有加法 加法性 具符号 数字数值 尺度名义 数值群 符号意义 数值比例 尺度距离 距离间隔 现象排列
梁*玲,2020/2/19 下午4:54:06,数值群 娇娇同学 尺度数值 序数尺度 说序数 数据处理具体 群有点 有点理解 群处理 具体分析 处理比较
王*娇,2020/2/27 下午3:33:48,比如说班级 玲玲同学 数值群 等级属于 班级学生 低等级 进行排序 做数值 不同等级 属于群体 群体数据 数据群 群比较 分为高 理解数据 群处理 学生成绩 比较统一 统一处理 会分为 成绩进行 数据做 中低 高中
王*宇,2020/2/26 下午12:53:38,数值进行 群处理 单一数值 处理断句 序数尺度 成序数 排序数值 顶部删除 数值群 回到顶部 删除回复 尺度不会 不会单一 较多是否 处理较多 是否理解 整体处理 理解成 进行整体 进行处理
郭*,2020/2/19 下午4:14:52,距离尺度 尺度数量 不能进行 间隔尺度 零点位置 数值间 尺度数字 乘除运算 名义尺度 序数尺度 进行加减 数字进行 能够进行 进行比较 仅具有 求相关系数 相关系数统计 中的温度 二项式检验 具有等价 具有绝对零度 分类比率 加减乘除 加减运算 加减乘除不能 卡二项式 原点绝对 又称间隔 变量测量 固定度量 天气预报中的 学习数量化 尺度原点 尺度又称 尺度序数 尺度比例尺 度量单位 数量化尺度 数量化意义 比例尺数字
李*格,2020/2/20 下午5:55:57,可用统计分析 尺度可用 指相关性 相关性分析 统计分析方法 解释序列 序列相关 总结很好 方法总结 相关指
邓*,2020/2/19 下午4:32:17,定尺度 进行加减 存在例 乘除运算 事物属性 准确差值 加减乘除 加减运算 只能测度 尺度尺度 尺度顺序 平行分类 年份摄氏温度 序数尺度 摄氏温度定量 数学运算 数量化尺度 比例尺定 比较满意满意 测度事物 满意比较满意 运算数量化 运算比例尺 顺序尺度 测量类别 分类尺度 尺度分类 运算距离 例年份 尺度定 名义尺度 分类分组 定量数据 类别差 尺度例 体重身高 距离尺度 分组名义 减数学 尺度只能
梁*玲,2020/2/19 下午4:45:16,名义尺度 距离尺度 比例尺度 信息数量化 具有等价 具有绝对零度 尺度指数值 尺度数值 序数尺度 指数值间 排列顺序 数据分析求 数据分析算术平均 数量化尺度 标准偏差相关系数 比例尺比例 等价单位 算术平均标准偏差 绝对零度距离 尺度值 数据分析统计 成绩排序 尺度名义 求顺序 尺度数字 身高体重 数据分析处理 现象排列 统计类别 类别数 尺度具有 进行数据分析 组编号 顺序关系 测试成绩 数字用于 考试测试 数值进行 比较大小 间距离
冀*,2020/2/19 下午5:25:08,尺度数量 不能进行 进行加减 仅具有 乘除运算 运算不能 距离尺度 单位价 只能进行 序数尺度 中的温度 二项式检验 价天气预报 价身长 体育竞赛冠军 分类比率 加减乘除 加减运算 卡二项式 天气预报中的 尺度数值 意义体育竞赛 求众数 求相关系数 相关方差分析 相关系数统计 类别符号 身长体重 四则运算进行 进行四则运算 类别分类 符号班 数据分析方法 排序意义 冠军亚军 比例尺度 名义尺度 符号意义 具有排序 比率分析
于*,2020/2/26 下午3:07:42,再给出 尺度比例尺 比例尺问题 给出解释 鑫倩回复 距离尺度 太懂 温度距离 希望同学们 同学们再 回复太
李*格,2020/2/20 下午5:52:32,二项式检验 具体解释一下 检验分析方法
胡*佳,2020/2/24 下午3:32:42,尺度对应 举例子 对应概念 例子很好 方便理解
周*,2020/2/27 上午2:00:01,序数尺度 比例尺独特 比例尺能够 清晰一目了然 相比比例尺 表格整理 用于数据分析 尺度距离 距离尺度 整理清晰 尺度相比 独特优势 能够用于
冀*,2020/2/27 下午9:23:06,优势比例尺 尺度比较简单 比例尺相对 相对尺度 很快运用 能够很快 最大优势
